describle,evaluate,introduce,movie_name,serial_number,star
音乐能化解仇恨。,361854人评价,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,63,9.2
一张面具背后的理想与革命。,753037人评价,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,64,8.9
在时间之河里感受溺水之苦。,700013人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,65,8.9
你以为你以为的就是你以为的。,820208人评价,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,66,8.8
你给我翻译翻译，神马叫做TMD的惊喜。,1138236人评价,2010/中国大陆中国香港/剧情喜剧动作西部,让子弹飞,67,8.8
美丽无罪。,687851人评价,2000/意大利美国/剧情战争情色,西西里的美丽传说,68,8.9
奔跑的孩子是天使。,281728人评价,1997/伊朗/剧情儿童家庭,小鞋子,69,9.2
美利坚精神输出大片No1.,452850人评价,1998/美国/剧情历史战争,拯救大兵瑞恩,70,9.0
海豚的微笑，是世界上最高明的伪装。,282922人评价,2009/美国/纪录片,海豚湾,71,9.3
暗恋的极致。,643274人评价,1995/日本/剧情爱情,情书,72,8.9
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,347706人评价,2008/英国美国/剧情战争,穿条纹睡衣的男孩,73,9.1
用音乐化解仇恨，让歌声串起美好。,420740人评价,1965/美国/剧情传记爱情歌舞,音乐之声,74,9.0
去除成见，需要勇气。,1057256人评价,2018/美国/剧情喜剧传记,绿皮书,75,8.9
往事如烟，无处祭奠。,297532人评价,1984/美国意大利/犯罪剧情,美国往事,76,9.2
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,261830人评价,2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,77,9.2
孪生蝙蝠侠大战克隆金刚狼。,599562人评价,2006/美国英国/剧情悬疑惊悚,致命魔术,78,8.9
故事的高级讲法。,593637人评价,1994/美国/剧情喜剧犯罪,低俗小说,79,8.8
警察抓小偷，老鼠玩死猫。,695792人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,80,8.8
安东尼·霍普金斯的顶级表演。,593110人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,81,8.8
人的命运被自己瞬间的抉择改变。,658820人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,82,8.8
爱情纠缠，男女一致。,444898人评价,1997/中国香港日本韩国/剧情爱情同性,春光乍泄,83,8.9
昔日翩翩少年，今日大腹便便。,659675人评价,2010/美国/剧情悬疑惊悚,禁闭岛,84,8.8
人生中应该拥有这样的一段豁然开朗。,492157人评价,1997/美国/剧情,心灵捕手,85,8.9
以戏谑来戏谑戏谑。,531736人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,86,8.9
小清新的故事里注入了大历史的情怀。,624305人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,87,8.8
绝对意义上的美轮美奂。,943395人评价,2009/美国英国/动作科幻冒险,阿凡达,88,8.7
浪漫忧郁的成人童话。,798229人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,89,8.7
大时代中的人生，小人物的悲喜。,195756人评价,1936/美国/剧情喜剧爱情,摩登时代,90,9.3
史诗大片的典范。,441536人评价,1995/美国/动作传记剧情历史战争,勇敢的心,91,8.9
法式小清新。 ,763442人评价,2001/法国德国/喜剧爱情,天使爱美丽,92,8.7
我是一个演员。,659267人评价,1999/中国香港/喜剧剧情爱情,喜剧之王,93,8.7
最不可能的那个人永远是最可能的。,554861人评价,2003/美国/剧情悬疑惊悚,致命ID,94,8.8
约翰尼·德普的独角戏。,625736人评价,2003/美国/动作冒险奇幻,加勒比海盗,95,8.7
每个人心中都有一座断背山。,530261人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,96,8.8
关于连环杀人悬案的集体回忆。,457257人评价,2003/韩国/剧情动作犯罪悬疑惊悚,杀人回忆,97,8.8
人言可畏。,246999人评价,2012/丹麦瑞典/剧情,狩猎,98,9.1
10年的完美句点。,524501人评价,2011/美国英国/奇幻冒险,哈利·波特与死亡圣器(下),99,8.8
人与自然的战争史诗。,389597人评价,1997/日本/动画奇幻冒险,幽灵公主,100,8.9
沉醉在电影的情感和视听氛围中无法自拔。,441265人评价,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,101,8.9
一场华丽的意淫。,447502人评价,1994/中国大陆中国香港/剧情爱情,阳光灿烂的日子,102,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,446475人评价,2008/日本/剧情,入殓师,103,8.8
寂寞没有期限。,564392人评价,1994/中国香港/剧情爱情,重庆森林,104,8.7
那些静得只能听见呼吸的日子里，你明白孤独即生活。,293071人评价,2014/日本/剧情,小森林 夏秋篇,105,9.0
深入内心的恐怖，出人意料的结局。,385327人评价,1999/美国/剧情悬疑惊悚,第六感,106,8.9
《我是山姆》的《美丽人生》。,363379人评价,2013/韩国/剧情喜剧家庭,7号房的礼物,107,8.9
年度最佳date movie。,633876人评价,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,108,8.7
梦的勾结。,271918人评价,2006/日本/动画悬疑科幻惊悚,红辣椒,109,9.0
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,258663人评价,2015/日本/剧情,小森林 冬春篇,110,9.0
缘分是个连绵词，最美不过一瞬。,416643人评价,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,111,8.8
少女情怀总是诗。,321296人评价,1995/日本/剧情爱情动画,侧耳倾听,112,8.9
你是我最好的朋友，你是我唯一的朋友 。,328990人评价,2009/澳大利亚/剧情喜剧动画,玛丽和马克思,113,8.9
我们都曾经是一一。,247624人评价,2000/中国台湾日本/剧情爱情家庭,一一,114,9.0
华太师是黄霑，吴镇宇四大才子之一。,713934人评价,1993/中国香港/喜剧爱情古装,唐伯虎点秋香,115,8.6
没有一人完全善，也没有一人完全恶。,531604人评价,2010/日本/剧情惊悚,告白,116,8.7
穷尽一生，我们要学会的，不过是彼此拥抱。,325282人评价,2011/美国/剧情,超脱,117,8.9
诺兰就是保证。,504402人评价,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,118,8.8
两张绝世的脸。 ,505766人评价,1987/中国香港/爱情奇幻武侠古装,倩女幽魂,119,8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,416208人评价,2003/美国/剧情家庭奇幻冒险,大鱼,120,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,452005人评价,2011/韩国/剧情喜剧,阳光姐妹淘,121,8.8
百看不厌。 ,463159人评价,1993/中国香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,122,8.7
触不到的恋人。,345915人评价,2011/日本/剧情爱情动画奇幻,萤火之森,123,8.9
相逢只要一瞬间，等待却像是一辈子。,365512人评价,1996/中国香港/剧情爱情,甜蜜蜜,124,8.8
和谐的生活离不开摸头与被摸头。,538450人评价,2010/美国/动画奇幻冒险,驯龙高手,125,8.7
我的平常生活就是他人的幸福。,188452人评价,2004/日本/剧情,无人知晓,126,9.1
Balalala~~~,696726人评价,2014/美国/喜剧动作科幻动画冒险,超能陆战队,127,8.7
有时候幸福需要等一等。 ,381841人评价,2004/美国/喜剧剧情爱情,幸福终点站,128,8.8
曾经的那段美好会沉淀为一辈子的记忆。,380361人评价,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,129,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,359420人评价,1999/日本/剧情喜剧,菊次郎的夏天,130,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,354259人评价,2004/美国法国/剧情爱情,爱在日落黄昏时,131,8.8
恐怖分子的“秋菊打官司”。,441112人评价,2013/韩国/剧情犯罪悬疑,恐怖直播,132,8.8
坏人的好总是比好人的好来得更感人。,176184人评价,1993/美国/剧情犯罪,完美的世界,133,9.1
Mr. I Don't Care其实也有Care的时候。,695824人评价,2010/美国法国/喜剧动画冒险,神偷奶爸,134,8.6
不要给它起名字，起了名字就有感情了。,453839人评价,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,135,8.7
跨度十五年的欢乐与泪水。,352095人评价,2010/美国/喜剧动画奇幻冒险,玩具总动员3,136,8.8
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,571844人评价,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,137,8.7
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,659858人评价,2004/中国大陆中国香港/动作喜剧犯罪奇幻,功夫,138,8.6
动画片的圣经。,278486人评价,1984/日本/动画奇幻冒险,风之谷,139,8.9
爱是摈弃傲慢与偏见之后的曙光。,537876人评价,2005/法国英国美国/剧情爱情,傲慢与偏见,140,8.6
土壤没有落叶不会肥沃，没有了你就不算人生。,90727人评价,2017/日本/纪录片,人生果实,141,9.5
被上帝抛弃了的上帝之城。,228210人评价,2002/巴西法国/犯罪剧情,上帝之城,142,8.9
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,386293人评价,2013/英国/喜剧爱情奇幻,时空恋旅人,143,8.7
任何信念的力量，都无法改变命运。,242623人评价,1990/美国/剧情犯罪,教父3,144,8.9
真相就在眼前。,352193人评价,2004/美国/悬疑惊悚恐怖,电锯惊魂,145,8.7
传奇的年代，醉人的童话。,142726人评价,1983(中国大陆)/中国大陆/动画奇幻,天书奇谭,146,9.2
中国家庭的喜怒哀乐忍。,237090人评价,1993/中国台湾美国/剧情喜剧爱情同性家庭,喜宴,147,8.9
英雄泪短，兄弟情长。 ,352611人评价,1986/中国香港/剧情动作犯罪,英雄本色,148,8.7
像吃了苏打饼一样干脆的电影。,305088人评价,2007/美国德国/动作悬疑惊悚,谍影重重3,149,8.8
热血沸腾，那个低俗、性感的无耻混蛋又来了。,432558人评价,2012/美国/剧情动作西部冒险,被解救的姜戈,150,8.7
岁月流逝，来日可追。,453520人评价,2010/中国香港中国大陆/剧情家庭,岁月神偷,151,8.7
时代悲歌。,132118人评价,1954/日本/动作冒险剧情,七武士,152,9.2
想你时你在闹海。,172074人评价,1979/中国大陆/冒险动画奇幻,哪吒闹海,153,9.1
爱并不需要智商 。,211370人评价,2001/美国/剧情家庭,我是山姆,154,8.9
老少皆宜，这就是好莱坞动画的魅力。,613861人评价,2013/美国/喜剧动画冒险,疯狂原始人,155,8.7
写给影迷，动漫迷和游戏迷的一封情书。,1002590人评价,2018/美国/动作科幻冒险,头号玩家,156,8.7
香港浪漫主义警匪动作片的巅峰之作。,285461人评价,1991/中国香港/剧情喜剧动作犯罪,纵横四海,157,8.8
怼天怼地，你走后，她与世界为敌。,599236人评价,2017/美国英国/剧情犯罪,三块广告牌,158,8.7
揭露人性的丧尸题材力作。,789544人评价,2016/韩国/动作惊悚灾难,釜山行,159,8.5
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,344130人评价,2014/中国大陆/剧情犯罪悬疑,心迷宫,160,8.7
Jared Leto的腿比女人还美！,320030人评价,2013/美国/剧情传记同性,达拉斯买家俱乐部,161,8.8
幸福是生生不息，却难以触及的远。 ,317589人评价,1988/日本/动画剧情战争,萤火虫之墓,162,8.7
爱，是个动词。,518234人评价,2003/英国美国法国/喜剧剧情爱情,真爱至上,163,8.6
始于荒诞，止于更荒诞。,293466人评价,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,164,8.8
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,567572人评价,2008/英国美国/剧情爱情,贫民窟的百万富翁,165,8.6
电影诗。,430544人评价,1994/中国香港中国台湾/剧情动作爱情武侠古装,东邪西毒,166,8.6
一个针管引发的血案。,435865人评价,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,167,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,392251人评价,2014/美国/剧情音乐,爆裂鼓手,168,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,969230人评价,2016/日本/剧情爱情动画,你的名字。,169,8.4
黑暗之美。,629061人评价,2010/美国/剧情惊悚,黑天鹅,170,8.6
偷情本没有这样美。,401509人评价,2000/中国香港/剧情爱情,花样年华,171,8.6
不一样的导演，不一样的哈利·波特。,386310人评价,2004/英国美国/奇幻冒险,哈利·波特与阿兹卡班的囚徒,172,8.7
当这个世界闭上双眼，他却敞开了怀抱。,204521人评价,2004/英国南非意大利/剧情历史战争,卢旺达饭店,173,8.9
养狗三日，便会对你终其一生。,129806人评价,1987/日本/剧情,忠犬八公物语,174,9.2
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,292980人评价,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,175,8.7
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,427742人评价,2014/英国美国/剧情传记战争同性,模仿游戏,176,8.7
愿我们都不用长大，每一座城堡都能永远存在。,413008人评价,2015/美国/喜剧动画冒险,头脑特工队,177,8.7
惠及一生的美丽。,256001人评价,2015/瑞典/剧情,一个叫欧维的男人决定去死,178,8.8
魔法的密室之门已打开...,405335人评价,2002/美国英国德国/奇幻冒险,哈利·波特与密室,179,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,305895人评价,1988/美国/剧情,雨人,180,8.7
感情不分食草或者食肉。,244597人评价,2010/日本/剧情动画儿童,你看起来好像很好吃,181,8.9
好的剧本是，就算你猜到了结局也猜不到全部。,184496人评价,1997/日本/动画奇幻惊悚,未麻的部屋,182,8.9
迪士尼和皮克斯拿错剧本的产物。,376523人评价,2012/美国/喜剧动画奇幻冒险,无敌破坏王,183,8.7
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,468186人评价,2004/美国/剧情爱情,恋恋笔记本,184,8.5
松鼠才是角儿。,452087人评价,2002/美国/喜剧动画冒险,冰川时代,185,8.6
要做就做得狠一点，这样才能活下去。,226938人评价,2013/韩国/剧情犯罪,新世界,186,8.8
是枝裕和的家庭习作。,275715人评价,2015/日本/剧情家庭,海街日记,187,8.8
有一些东西不应该被遗忘。,210804人评价,2015/中国大陆/纪录片,二十二,188,8.7
我们都有权利不与自己的过去和解。,349817人评价,2016/美国/剧情家庭,海边的曼彻斯特,189,8.6
永远看不腻的喜剧。,167882人评价,1966/法国英国/喜剧战争,虎口脱险,190,8.9
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,282784人评价,2015/爱尔兰加拿大英国美国/剧情家庭,房间,191,8.8
故事的反转与反转，分裂电影的始祖。,161650人评价,1960/美国/悬疑惊悚恐怖,惊魂记,192,9.0
不要企图在重复中寻找已经失去的爱。,559096人评价,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,193,8.5
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,331810人评价,1989/日本/动画奇幻冒险,魔女宅急便,194,8.6
世界不完美，爱会有奇迹。,410526人评价,2017/美国中国香港/剧情儿童家庭,奇迹男孩,195,8.6
对爱的执着，可以超越一切。,311685人评价,2001/美国/冒险剧情科幻,人工智能,196,8.6
骨灰级歌舞片。,146276人评价,1952/美国/喜剧歌舞爱情,雨中曲,197,9.0
中国版《两杆大烟枪》。,566258人评价,2006/中国大陆中国香港/喜剧犯罪,疯狂的石头,198,8.5
人生的N种可能性。,216157人评价,1950/日本/剧情犯罪悬疑,罗生门,199,8.8
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,224457人评价,2013/美国希腊/剧情爱情,爱在午夜降临前,200,8.8
我们组成了家。,577386人评价,2018/日本/剧情犯罪家庭,小偷家族,201,8.7
大海啊，不全是水。,129161人评价,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,202,9.1
少见的超越首部的续集，动作片中的经典。,249579人评价,1991/美国法国/动作科幻,终结者2：审判日,203,8.7
黑小鸭速效美白记。,754892人评价,2010/泰国/剧情喜剧爱情,初恋这件小事,204,8.4
中国式内在的美国电影。,196971人评价,1940/美国/剧情爱情战争,魂断蓝桥,205,8.8
传奇，不是每个人都可以拥有。,212631人评价,1994/美国/剧情爱情战争西部,燃情岁月,206,8.8
坚硬的信仰。,206747人评价,2004/中国大陆中国香港/剧情犯罪,可可西里,207,8.8
天使暂时离开。,189314人评价,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,208,8.8
爱上未来的你。 ,292242人评价,2006/日本/剧情爱情科幻动画,穿越时空的少女,209,8.6
现代科幻电影的开山之作，最伟大导演的最伟大影片。,197133人评价,1968/英国美国/科幻惊悚冒险,2001太空漫游,210,8.8
弱者送给弱者的一刀。,181336人评价,1991/中国台湾/剧情犯罪,牯岭街少年杀人事件,211,8.8
永远的小人物，伟大的卓别林。,87368人评价,1931/美国/喜剧剧情爱情,城市之光,212,9.3
来啊，互相伤害啊！,397592人评价,2016/意大利/剧情喜剧,完美陌生人,213,8.5
昆汀同学越来越变态了，比北野武还杜琪峰。,349147人评价,2009/德国美国/剧情犯罪,无耻混蛋,214,8.6
王家卫是一种风格，张国荣是一个代表。,355135人评价,1990/中国香港/犯罪剧情爱情,阿飞正传,215,8.5
嬉笑怒骂，调风动月。,313514人评价,1992/中国香港中国大陆/动作爱情武侠古装,新龙门客栈,216,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,599431人评价,2011/美国加拿大/科幻悬疑惊悚,源代码,217,8.4
一个单凭体香达到高潮的男人。,415314人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,218,8.5
谁说王家卫镜头很晃？,257617人评价,2004/美国德国/动作悬疑惊悚,谍影重重2,219,8.7
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,361878人评价,1993/中国香港/剧情爱情奇幻古装,青蛇,220,8.5
天使保护事件始末。,147983人评价,2007/印度/剧情儿童家庭,地球上的星星,221,8.9
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,307843人评价,2002/美国德国捷克/动作悬疑惊悚,谍影重重,222,8.6
假戏真情，爱欲深海,475753人评价,2007/中国台湾中国大陆美国中国香港/剧情爱情情色,色，戒,223,8.4
做一颗让别人需要你的棋子。,259017人评价,2005/美国法国/剧情犯罪,战争之王,224,8.6
每个美丽事物背后都是滴血的现实。,250151人评价,2006/美国德国/剧情惊悚冒险,血钻,225,8.7
用剩余不多的时间，去燃烧整个生命。,260515人评价,2007/美国/冒险喜剧剧情,遗愿清单,226,8.6
不可猜的青春迷笛。 ,337060人评价,1996/英国/剧情犯罪,猜火车,227,8.5
人们可以登上月球，却永远无法探索人们内心的宇宙。,267737人评价,2017/中国台湾/剧情喜剧犯罪,大佛普拉斯,228,8.7
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,363463人评价,2015/澳大利亚美国/动作科幻冒险,疯狂的麦克斯4：狂暴之路,229,8.6
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,178117人评价,2008/日本/剧情家庭,步履不停,230,8.8
小成本大魅力。,354387人评价,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,231,8.5
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,367869人评价,2008/美国德国/剧情爱情,朗读者,232,8.6
世界离独裁只有五天。,201464人评价,2008/德国/剧情惊悚,浪潮,233,8.7
宝莱坞的萝莉与大叔。,350364人评价,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,234,8.4
爱我就给我看你的播放列表。,299421人评价,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,235,8.5
过去的如果就让它过去了，未来只会越来越糟！,653431人评价,2016/中国大陆/剧情喜剧,驴得水,236,8.3
新闻人的理性求真。,206697人评价,2015/美国/剧情传记,聚焦,237,8.8
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,89856人评价,1953/日本/剧情家庭,东京物语,238,9.2
诺兰的牛逼来源于内心散发出的恐惧。,130074人评价,1998/英国/犯罪悬疑惊悚,追随,239,8.9
,371149人评价,1994/中国香港/喜剧古装,九品芝麻官,240,8.5
只有有信仰的人才能说出事实真相。,194579人评价,2011/伊朗法国/剧情家庭,一次别离,241,8.7
,342863人评价,2005/英国美国/奇幻冒险,哈利·波特与火焰杯,242,8.5
一部能引人思考的科幻励志片。,170874人评价,1997/美国/剧情科幻惊悚,千钧一发,243,8.8
你要相信，这世上真的有爱存在，不管在什么年纪 ,108266人评价,2011/韩国/剧情爱情,我爱你,244,9.0
还原真实而残酷的战争。,206908人评价,2001/美国/动作历史战争,黑鹰坠落,245,8.7
来也匆匆去也匆匆，就这样风雨兼程。,116536人评价,2017/中国大陆/纪录片家庭,四个春天,246,8.9
,376304人评价,2018/美国俄罗斯/剧情犯罪悬疑惊悚,网络谜踪,247,8.6
